Gene	Source Paper	Source Table	Histotype	GWAS_TYPE	https://doi.org/10.1101/2020.04.23.043653
DNALI1	30054336	Table 1	HGSOC	eQTL_cisQTL	31043753
CCDC171	30054336	Table 1	HGSOC	eQTL_cisQTL	
C9orf92	30054336	Table 1	HGSOC	eQTL_cisQTL	
ADAM11	30054336	Table 1	HGSOC	eQTL_cisQTL	
AC091132.1	30054336	Table 1	HGSOC	eQTL_cisQTL	
RP11–798G7.8	30054336	Table 1	HGSOC	eQTL_cisQTL	
CRHR1	30054336	Table 1	HGSOC	eQTL_cisQTL	
RP11–105N13.4	30054336	Table 1	HGSOC	eQTL_cisQTL	
MAPT-AS	30054336	Table 1	HGSOC	eQTL_cisQTL	
RP11–669E14.6	30054336	Table 1	HGSOC	eQTL_cisQTL	
KANSL1-AS1	30054336	Table 1	HGSOC	eQTL_cisQTL	
LRRC37A	30054336	Table 1	HGSOC	eQTL_cisQTL	
LRRC37A2	30054336	Table 1	HGSOC	eQTL_cisQTL	
NSF	30054336	Table 1	HGSOC	eQTL_cisQTL	
RP11–138C9.1	30054336	Table 1	HGSOC	eQTL_cisQTL	
RP11–6N17.6	30054336	Table 1	HGSOC	eQTL_cisQTL	
PNPO	30054336	Table 1	HGSOC	eQTL_cisQTL	
PRR15L	30054336	Table 1	HGSOC	eQTL_cisQTL	
HOXB2	30054336	Table 1	HGSOC	eQTL_cisQTL	
HOXB-AS1	30054336	Table 1	HGSOC	eQTL_cisQTL	
HOXB3	30054336	Table 1	HGSOC	eQTL_cisQTL	
RP11–403A21.1	30054336	Table 1	LGSOC	eQTL_cisQTL	
ZNF546	30054336	Table 1	MOC	eQTL_cisQTL	
HOXD3	30054336	Table 2	HGSOC	eQTL_cisQTL	
HOXD1	30054336	Table 2	HGSOC	eQTL_cisQTL	
LEKR1	30054336	Table 2	HGSOC	eQTL_cisQTL	
CHMP4C	30054336	Table 2	HGSOC	eQTL_cisQTL	
ABO	30054336	Table 2	HGSOC	eQTL_cisQTL	
OBFC1	30054336	Table 2	HGSOC	eQTL_cisQTL	
RCCD1	30054336	Table 2	HGSOC	eQTL_cisQTL	
PLEKHM1	30054336	Table 2	HGSOC	eQTL_cisQTL	
KANSL1	30054336	Table 2	HGSOC	eQTL_cisQTL	
WNT3	30054336	Table 2	HGSOC	eQTL_cisQTL	
ABHD8	30054336	Table 2	HGSOC	eQTL_cisQTL	
STRCP1	https://doi.org/10.1101/2020.04.23.043653	Table 2	All Invasive	eQTL_cisQTL	
CPNE1	https://doi.org/10.1101/2020.04.23.043653	Table 2	All Invasive	eQTL_cisQTL	
AC011330.5	https://doi.org/10.1101/2020.04.23.043653	Table 2	All Invasive	eQTL_cisQTL	
